assunto,category
Planos de Saúde,health_plan
Planos de saúde,health_plan
Taxa de Saúde Suplementar,health_plan
Fornecimento de Medicamentos,medication
Fornecimento de medicamentos,medication
Fornecimento de insumos,medication
Comercialização e/ou Utilização sem Restrições de Medicamentos,medication
Medicamento em Desacordo com Receita Médica,medication
Tratamento médico-hospitalar,treatment
Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,treatment
Tratamento Médico-Hospitalar,treatment
Custeio de Assistência Médica,treatment
Tratamento da Própria Saúde,treatment
Tratamento Ambulatorial,treatment
Tratamento Domiciliar (Home Care),treatment
"Requisição para tratamento de sua saúde, em regime ambulatorial, hospitalar ou domiciliar",treatment
"Requisição de tratamento médico, psicológico ou psiquiátrico, em regime hospitalar ou ambulatorial",treatment
Tratamento ambulatorial (Violência Doméstica e Familiar),treatment
Acompanhamento tratamento ambulatorial,treatment
Assistência médica,treatment
Cirurgia,treatment
Curativos/Bandagem,treatment
Antecipação terapêutica de parto,treatment
Serviços Hospitalares,hospital
Assistência Médico-Hospitalar,hospital
Internação compulsória,hospital
Internação,hospital
Unidade de terapia intensiva (UTI) / unidade de cuidados intensivos (UCI),hospital
Unidade de terapia intensiva (UTI) ou unidade de cuidados intensivos (UCI),hospital
Unidade de terapia intensiva (UTI) ou Unidade de cuidados intensivos (UCI),hospital
Leito de enfermaria / leito oncológico,hospital
Internação sem atividades externas,hospital
Internação involuntária,hospital
Internação com atividades externas,hospital
Internação Compulsória,hospital
Internação voluntária,hospital
Internação Involuntária,hospital
Internação Voluntária,hospital
Internação-sanção,hospital
Diálise/Hemodiálise,hospital
Hospitais e Outras Unidades de Saúde,hospital
"REGIME HOSPITALAR OU DOMICILIAR DURANTE PERÍODO DE INTERNAÇÃO",hospital
Entidade - Internação,hospital
Erro Médico,medical_error
Terceirização do SUS,sus
Convênio médico com o SUS,sus
Financiamento do SUS,sus
Ressarcimento do SUS,sus
Repasse de verbas do SUS,sus
Auxílio-Acidente (Art. 86),disability
Aposentadoria por Invalidez,disability
Auxílio-Doença Previdenciário,disability
Incapacidade Laborativa Permanente,disability
Auxílio-Doença Acidentário,disability
"Benefício Assistencial (Art. 203,V CF/88)",disability
Aposentadoria por Invalidez Acidentária,disability
Incapacidade Laborativa Parcial,disability
Invalidez Permanente,disability
Incapacidade Laborativa Temporária,disability
Restabelecimento,disability
AUXILIO DOENCA,disability
Adicional de Insalubridade,occupational_health
Acidente de Trabalho,occupational_health
Movimentos Repetitivos/Tenossinovite/LER/DORT,occupational_health
Moléstia Profissional ou Doença Grave,occupational_health
Seguro Acidentes do Trabalho,occupational_health
Licença por Acidente em Serviço,occupational_health
Acidente em Serviço,occupational_health
Saúde,other_health
Assistência à Saúde,other_health
Serviços de Saúde,other_health
Oncológico,other_health
Fraldas,other_health
Cadeira de rodas / cadeira de banho / cama hospitalar,other_health
"Doação e transplante de órgãos, tecidos ou partes",other_health
"Doação e Transplante de Órgãos; Tecidos e Partes do Corpo Humano",other_health
Saúde Mental,other_health
Controle Social e Conselhos de Saúde,other_health
Habilitação e Reabilitação Profissional,other_health
Vigilância Sanitária e Epidemiológica,other_health
Vigilância Sanitária e Epidemológica,other_health
Genética / Células Tronco,other_health
LICENÇA SAÚDE,other_health
"FUSEX/FUNSA/FUSMA/Fundo de Saúde das Forças Armadas",other_health
PRESTACAO DE SERVICO MEDICOS,other_health
Residência Médica,other_health
COVID-19,other_health
Doação de Sangue,other_health
Redução da Capacidade Auditiva,other_health
Doença em Pessoa da Família,other_health
